Type,Baseunit,Symbol,Current,Length,Luminous,Mass,Substance,Temperature,Time
Current,Ampere,A,1,0,0,0,0,0,0
Length,Meter,m,0,1,0,0,0,0,0
Luminous,Candela,cd,0,0,1,0,0,0,0
Mass,Kilogram,kg,0,0,0,1,0,0,0
Substance,Mole,mol,0,0,0,0,1,0,0
Temperature,Kelvin,K,0,0,0,0,0,1,0
Time,Second,s,0,0,0,0,0,0,1
Area,,,0,2,0,0,0,0,0
Volume,,,0,3,0,0,0,0,0
Velocity,,,0,1,0,0,0,0,-1
Acceleration,,,0,1,0,0,0,0,-2
Jerk,,,0,1,0,0,0,0,-3
Frequency,Hertz,Hz,0,0,0,0,0,0,-1
Viscosity,,,0,2,0,0,0,0,-1
Force,Newton,N,0,1,0,1,0,0,-2
Momentum,,,0,1,0,1,0,0,-1
Inertia,,,0,2,0,1,0,0,0
Torque,,,0,2,0,1,0,0,-2
Angular Momentum,,,0,2,0,1,0,0,-1
Work,Joule,J,0,2,0,1,0,0,-2
Energy Density,,,0,-1,0,1,0,0,-2
Specific Energy,,,0,2,0,0,0,0,-2
Power,Watt,W,0,2,0,1,0,0,-3
